model,condition,language,category,triplet_accuracy,triplet_accuracy_lo,triplet_accuracy_hi,mean_cosine_gap,mean_cosine_gap_lo,mean_cosine_gap_hi,n_items
E5-large,english_pivot,hindi,formality_tv,0.020833333333333332,0.0,0.052083333333333336,-0.029963572199145954,-0.036191803077235817,-0.022749042417854075,96
E5-large,english_pivot,hindi,kinship_paternal_maternal,0.009174311926605505,0.0,0.027522935779816515,-0.014909690673198176,-0.01717134459849891,-0.012660713616861117,109
E5-large,english_pivot,hindi,kinship_relative_age,0.7878787878787878,0.7070707070707071,0.8585858585858586,0.013026625219017568,0.010561914245287577,0.015312687300070368,99
E5-large,english_pivot,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.01242068180671105,-0.03444857780749982,0.013490712184172398,13
E5-large,english_pivot,spanish,formality,0.0,0.0,0.0,-0.019014493574070025,-0.02352774148877663,-0.014824981761129598,79
E5-large,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.03978896141052246,-0.04415601850713341,-0.03545229241107274,103
E5-large,english_pivot,spanish,ser_vs_estar,0.2767857142857143,0.19642857142857142,0.35714285714285715,0.002634337970188686,-0.004564772360026836,0.010372568201273677,112
E5-large,native,hindi,formality_tv,0.09375,0.041666666666666664,0.15625,-0.014348659043510755,-0.017434832748646538,-0.011510088977714382,96
E5-large,native,hindi,kinship_paternal_maternal,0.8990825688073395,0.8440366972477065,0.9541284403669725,0.01523100564239222,0.012918880595526564,0.01749145793258597,109
E5-large,native,hindi,kinship_relative_age,0.8787878787878788,0.8080808080808081,0.9393939393939394,0.007785721860750757,0.006378870675660143,0.009010716535226263,99
E5-large,native,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.008616644602555495,-0.013011740491940425,-0.004454640585642595,13
E5-large,native,spanish,formality,0.379746835443038,0.27848101265822783,0.4936708860759494,-0.004425115223172345,-0.008916828507864022,0.0001147584636000133,79
E5-large,native,spanish,gender_agreement_adjectives,0.46601941747572817,0.36893203883495146,0.5631067961165048,-0.003590248163464,-0.007225345914224976,8.513334306697689e-05,103
E5-large,native,spanish,ser_vs_estar,0.026785714285714284,0.0,0.0625,-0.013680856674909592,-0.01611953979091985,-0.010811543211873092,112
E5-multi,english_pivot,hindi,formality_tv,0.020833333333333332,0.0,0.052083333333333336,-0.036819977685809135,-0.04179072029267748,-0.03187541688481967,96
E5-multi,english_pivot,hindi,kinship_paternal_maternal,0.0,0.0,0.0,-0.01760762929916382,-0.020326160290919312,-0.015118562628369813,109
