triplet_id,category,primary_overall,dual_overall,agree
es_for2_006,formality,auto_validated,auto_validated,1
es_for2_008,formality,auto_validated,auto_validated,1
es_for2_013,formality,auto_validated,auto_validated,1
es_for2_015,formality,auto_validated,auto_validated,1
es_for2_021,formality,auto_validated,auto_validated,1
es_for2_033,formality,auto_validated,auto_validated,1
es_for2_038,formality,auto_validated,needs_human_review,0
es_for2_049,formality,auto_validated,auto_validated,1
es_for2_051,formality,auto_validated,auto_validated,1
es_for2_066,formality,auto_validated,auto_validated,1
es_gen2_008,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_009,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_011,gender_agreement_adjectives,auto_validated,flagged_for_review,0
es_gen2_014,gender_agreement_adjectives,needs_human_review,auto_validated,0
es_gen2_020,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_022,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_033,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_037,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_039,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_042,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_061,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_066,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_072,gender_agreement_adjectives,auto_validated,auto_validated,1
es_gen2_110,gender_agreement_adjectives,auto_validated,auto_validated,1
es_ser2_002,ser_vs_estar,auto_validated,needs_human_review,0
es_ser2_006,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_009,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_010,ser_vs_estar,auto_validated,flagged_for_review,0
es_ser2_024,ser_vs_estar,flagged_for_review,flagged_for_review,1
es_ser2_025,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_030,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_033,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_035,ser_vs_estar,auto_validated,needs_human_review,0
es_ser2_079,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_082,ser_vs_estar,auto_validated,needs_human_review,0
es_ser2_086,ser_vs_estar,auto_validated,needs_human_review,0
es_ser2_088,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_090,ser_vs_estar,auto_validated,auto_validated,1
es_ser2_096,ser_vs_estar,auto_validated,needs_human_review,0
es_ser2_099,ser_vs_estar,auto_validated,auto_validated,1
hi_age2_005,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_010,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_021,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_024,kinship_relative_age,auto_validated,needs_human_review,0
hi_age2_033,kinship_relative_age,auto_validated,needs_human_review,0
hi_age2_036,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_038,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_050,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_066,kinship_relative_age,auto_validated,flagged_for_review,0
hi_age2_068,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_072,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_074,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_085,kinship_relative_age,auto_validated,auto_validated,1
hi_age2_093,kinship_relative_age,auto_validated,auto_validated,1
hi_for2_001,formality_tv,auto_validated,auto_validated,1
hi_for2_003,formality_tv,auto_validated,auto_validated,1
hi_for2_004,formality_tv,auto_validated,auto_validated,1
hi_for2_009,formality_tv,auto_validated,auto_validated,1
hi_for2_012,formality_tv,auto_validated,auto_validated,1
hi_for2_016,formality_tv,auto_validated,auto_validated,1
hi_for2_040,formality_tv,auto_validated,needs_human_review,0
hi_for2_047,formality_tv,auto_validated,auto_validated,1
hi_for2_056,formality_tv,auto_validated,auto_validated,1
hi_for2_058,formality_tv,auto_validated,needs_human_review,0
hi_for2_076,formality_tv,auto_validated,auto_validated,1
hi_for2_078,formality_tv,auto_validated,auto_validated,1
hi_for2_081,formality_tv,auto_validated,auto_validated,1
hi_kin2_004,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_020,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_024,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_038,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_065,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_066,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_072,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_075,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_078,kinship_paternal_maternal,flagged_for_review,flagged_for_review,1
hi_kin2_081,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_082,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_092,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_100,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_101,kinship_paternal_maternal,auto_validated,auto_validated,1
hi_kin2_110,kinship_paternal_maternal,auto_validated,auto_validated,1
