triplet_id,language,category,phenomenon,feature_vals,model,cos_grammatical_ungrammatical,pair_distinction,pair_pass
mbp_hi_001,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9994510412216187,0.0005489587783813477,0
mbp_hi_002,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.999932587146759,6.74128532409668e-05,0
mbp_hi_003,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9999536275863647,4.6372413635253906e-05,0
mbp_hi_004,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9975695013999939,0.0024304986000061035,0
mbp_hi_005,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9977148771286011,0.0022851228713989258,0
mbp_hi_006,hindi,verb_gender_agreement,SP-G,MASC -> FEM,LaBSE,0.9993160367012024,0.0006839632987976074,0
mbp_hi_007,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9998522400856018,0.00014775991439819336,0
mbp_hi_008,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9997588992118835,0.00024110078811645508,0
mbp_hi_009,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9998065233230591,0.00019347667694091797,0
mbp_hi_010,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9999215602874756,7.843971252441406e-05,0
mbp_hi_011,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9996744394302368,0.0003255605697631836,0
mbp_hi_012,hindi,verb_gender_agreement,SP-G,MASC -> FEM,LaBSE,0.9993152618408203,0.0006847381591796875,0
mbp_hi_013,hindi,verb_gender_agreement,SP-G,MASC -> FEM,LaBSE,0.9997963309288025,0.00020366907119750977,0
mbp_hi_014,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9819247722625732,0.018075227737426758,0
mbp_hi_015,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.8963222503662109,0.10367774963378906,0
mbp_hi_016,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9995816946029663,0.0004183053970336914,0
mbp_hi_017,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9965876340866089,0.0034123659133911133,0
mbp_hi_018,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9976054430007935,0.002394556999206543,0
mbp_hi_019,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9997317790985107,0.0002682209014892578,0
mbp_hi_020,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.995944619178772,0.004055380821228027,0
mbp_hi_021,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9942275285720825,0.0057724714279174805,0
mbp_hi_022,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9991698265075684,0.0008301734924316406,0
mbp_hi_023,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9923350811004639,0.007664918899536133,0
mbp_hi_024,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9998835921287537,0.00011640787124633789,0
mbp_hi_025,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9871118068695068,0.012888193130493164,0
mbp_hi_026,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9996097683906555,0.0003902316093444824,0
mbp_hi_027,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9999531507492065,4.684925079345703e-05,0
mbp_hi_028,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.999979555606842,2.0444393157958984e-05,0
mbp_hi_029,hindi,verb_gender_agreement,SP-G,MASC -> FEM,LaBSE,0.9998508095741272,0.00014919042587280273,0
mbp_hi_030,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9999810457229614,1.895427703857422e-05,0
mbp_hi_031,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9996979236602783,0.0003020763397216797,0
mbp_hi_032,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9998890161514282,0.00011098384857177734,0
mbp_hi_033,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9999389052391052,6.109476089477539e-05,0
mbp_hi_034,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.999969482421875,3.0517578125e-05,0
mbp_hi_035,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9998000860214233,0.00019991397857666016,0
mbp_hi_036,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.999453067779541,0.0005469322204589844,0
mbp_hi_037,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9999151825904846,8.481740951538086e-05,0
mbp_hi_038,hindi,verb_gender_agreement,SP-G,MASC -> FEM,LaBSE,0.9996744394302368,0.0003255605697631836,0
mbp_hi_039,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9994143843650818,0.0005856156349182129,0
mbp_hi_040,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9998787641525269,0.00012123584747314453,0
mbp_hi_041,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9999224543571472,7.75456428527832e-05,0
mbp_hi_042,hindi,verb_gender_agreement,SV-G,FEM -> MASC,LaBSE,0.9990636110305786,0.0009363889694213867,0
mbp_hi_043,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9766499400138855,0.023350059986114502,0
mbp_hi_044,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.99872225522995,0.0012777447700500488,0
mbp_hi_045,hindi,verb_gender_agreement,SV-G,MASC -> FEM,LaBSE,0.9997695684432983,0.00023043155670166016,0
