triplet_id,category,validator_model,overall,language_verdict,language_reasoning,minimal_pair_verdict,minimal_pair_reasoning,contrast_feature_verdict,contrast_feature_reasoning,translation_verdict,translation_reasoning,naturalness_verdict,naturalness_reasoning
hi_kin_001,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"The source sentences are in Hindi and the English translations are in English, matching the declared languages.",pass,"Anchor and near differ only in the verb (आएंगे vs. पहुंचेंगे), both using 'चाचा'. Far swaps 'चाचा' (paternal uncle) for 'मामा' (maternal uncle) with the rest unchanged. This is a minimal pair structure.",pass,"Anchor and near both use 'चाचा' (paternal uncle), while far uses 'मामा' (maternal uncle), directly testing the paternal/maternal kinship distinction.",pass,"All English translations use 'uncle', collapsing the paternal/maternal distinction as intended for a strong-flattening probe. No leakage of the contrast into English.",pass,All Hindi sentences are natural and idiomatic. No awkwardness detected.
hi_kin_002,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct, natural Hindi. English translations are in standard English. Language tags are correct.",pass,"Anchor and near differ only in the verb ('सुनाई' vs 'बताई'), both keeping 'दादी'. Far swaps 'दादी' (paternal grandmother) for 'नानी' (maternal grandmother), with the rest unchanged. Minimal pair structure is preserved.",pass,"Anchor and near both use 'दादी' (paternal grandmother). Far swaps to 'नानी' (maternal grandmother), which is the correct kinship contrast for this category.",pass,"All English translations use 'Grandmother', collapsing the paternal/maternal distinction as intended for strong flattening. No leakage of the contrast into English.",pass,All Hindi sentences are natural and idiomatic. No awkwardness or ungrammaticality detected.
hi_kin_003,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The kinship terms (bua, mausi) are Hindi, and the rest of the vocabulary is consistent with Hindi grammar and usage.",pass,"Anchor and near differ only in 'घर' (ghar) vs 'मकान' (makaan), both meaning 'house', with 'बुआ' (bua) unchanged. Far swaps 'बुआ' (bua, father's sister) for 'मौसी' (mausi, mother's sister), with the rest of the sentence matching anchor. This is a minimal pair structure.",pass,"The contrast is between 'बुआ' (paternal aunt) and 'मौसी' (maternal aunt), which is the intended kinship distinction. Anchor and near both use 'बुआ', while far uses 'मौसी'.",pass,"All English translations use 'aunt', which collapses the paternal/maternal distinction as intended for a strong-flattening probe. There is no leakage of the kinship distinction into English.",pass,"All Hindi sentences are natural and idiomatic. Both 'घर' and 'मकान' are commonly used for 'house', and the possessive constructions are correct."
hi_kin_004,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi and all English translations are in English, matching the declared languages.",pass,"Anchor and near differ only in the intensifier ('बहुत' vs 'अत्यंत'), both keeping 'दादा'. Far swaps 'दादा' (paternal grandfather) for 'नाना' (maternal grandfather) with the rest unchanged from anchor.",pass,"The contrast is between 'दादा' (paternal grandfather) and 'नाना' (maternal grandfather), which is the intended kinship distinction. Anchor and near both use 'दादा', far uses 'नाना'.",pass,"All English translations use 'grandfather', collapsing the paternal/maternal distinction as intended for a strong-flattening probe. No leakage of the contrast into English.",pass,All Hindi sentences are natural and idiomatic.
hi_kin_005,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"The source sentences are in Hindi, and the English translations are in English. The kinship terms 'चाची' (chachi) and 'मामी' (mami) are correctly used in Hindi, and 'aunt' is used in English, matching the language tags.",pass,Anchor and near both use 'चाची' and differ only in the verb phrase ('खाना बनाया' vs 'भोजन तैयार किया'). Far swaps 'चाची' for 'मामी' but otherwise matches anchor. This is a minimal pair structure.,pass,"The contrast is between 'चाची' (paternal uncle's wife) and 'मामी' (maternal uncle's wife), which is the intended paternal/maternal kinship distinction. Anchor and near use the same term; far swaps to the maternal counterpart.",pass,"The English translations use 'aunt' for both 'चाची' and 'मामी', collapsing the distinction as intended. Anchor_en and far_en are identical, and near_en is a natural paraphrase. No leakage of the kinship distinction into English.",pass,All Hindi sentences are natural and idiomatic. No awkwardness or ungrammaticality detected.
hi_kin_006,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English sentences are in English. The kinship terms 'फूफा जी' (phupha ji) and 'मौसा जी' (mausa ji) are correct for Hindi.",pass,"Anchor and near differ only in 'काम' (work) vs 'व्यवसाय' (business), both keeping 'फूफा जी'. Far swaps 'फूफा जी' (father's sister's husband) for 'मौसा जी' (mother's sister's husband), with the rest unchanged from anchor.",pass,"The contrast is between 'फूफा जी' (paternal aunt's husband) and 'मौसा जी' (maternal aunt's husband), which is the intended paternal/maternal kinship distinction. Anchor and near use the same kinship term; far swaps to the maternal counterpart.",pass,"All English translations use 'uncle', which flattens the distinction between 'फूफा जी' and 'मौसा जी'. Anchor_en and far_en are identical, as required for strong flattening. No leakage of the kinship distinction into English.",pass,All Hindi sentences are natural and idiomatic. The use of 'फूफा जी का काम बहुत अच्छा है' and 'फूफा जी का व्यवसाय बहुत अच्छा है' is appropriate and common.
hi_kin_007,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The kinship terms used (chacha, mama) are appropriate for Hindi.",pass,"Anchor and near differ only in 'हमारे साथ' (with us) vs 'हमारे यहाँ' (at our place), both keeping 'चाचा जी'. Far swaps 'चाचा जी' for 'मामा जी' with the rest unchanged from anchor. Minimal pair structure is preserved.",pass,"Anchor and near both use 'चाचा जी' (paternal uncle). Far swaps to 'मामा जी' (maternal uncle), which is the correct contrast for this category.",pass,"All English translations use 'uncle', collapsing the paternal/maternal distinction as intended. Anchor_en and far_en are identical, showing no leakage of the contrast into English.",pass,All Hindi sentences are natural and idiomatic. No awkwardness or ungrammaticality detected.
hi_kin_008,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The kinship terms 'नानी' (nani) and 'दादी' (dadi) are correctly used for maternal and paternal grandmother, respectively.",pass,"Anchor and near differ only in the intensifier ('बहुत' vs 'अत्यधिक'), both keeping 'नानी'. Far swaps 'नानी' for 'दादी' but otherwise matches anchor. Minimal pair structure is preserved.",pass,"Anchor and near both use 'नानी' (maternal grandmother). Far swaps to 'दादी' (paternal grandmother), with all else unchanged. This directly tests the intended kinship contrast.",pass,"All English translations use 'Grandmother', collapsing the nani/dadi distinction as intended for a strong-flattening probe. No leakage of the source-side contrast into English.",pass,All Hindi sentences are natural and idiomatic. The use of 'अत्यधिक' is formal but acceptable.
hi_kin_009,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct, natural Hindi. All English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in the adjective (मीठी/मधुर), both keep 'चाचा जी'. Far swaps 'चाचा जी' (paternal uncle) for 'मामा जी' (maternal uncle), keeping the rest of the sentence identical to anchor. Minimal pair structure is preserved.",pass,"Anchor and near both use 'चाचा जी' (paternal uncle). Far swaps to 'मामा जी' (maternal uncle), which is the correct kinship contrast for this category.",pass,"All English sentences use 'uncle', collapsing the paternal/maternal distinction as intended. Anchor_en and far_en are identical, showing no leakage of the contrast into English. Near_en only changes the adjective, matching the source.",pass,All Hindi sentences are natural and idiomatic. The adjectives मीठी and मधुर are both appropriate for describing a voice.
hi_kin_010,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The kinship terms 'bua' and 'mausi' are correctly used in Hindi, and 'aunt' is used in English, matching the claimed languages.",pass,"Anchor and near differ only in the verb ('rahti hain' vs. 'nivas karti hain'), both keeping 'meri bua'. Far swaps 'meri bua' for 'meri mausi' with the rest of the sentence unchanged from anchor. This is a minimal pair structure.",pass,"Anchor and near both use 'bua' (father's sister), while far uses 'mausi' (mother's sister), directly testing the paternal/maternal aunt distinction.",pass,"All English translations use 'aunt', collapsing the paternal/maternal distinction as intended for a strong-flattening probe. There is no leakage of the contrast into English.",pass,All Hindi sentences are natural and idiomatic. Both 'rahti hain' and 'nivas karti hain' are valid ways to express 'lives/resides'.
